HUC8,2010_DO,2010_TCOLI_M,2010_TN,2010_TP,2010_TSS,2011_DO,2011_TCOLI_M,2011_TN,2011_TOC,2011_TP,2011_TSS,2012_DO,2012_TCOLI_M,2012_TN,2012_TOC,2012_TP,2012_TSS,2013_DO,2013_TN,2013_TOC,2013_TP,2013_TSS,2014_DO,2014_TN,2014_TOC,2014_TP,2014_TSS,2015_DO,2015_TN,2015_TOC,2015_TP,2015_TSS,2016_DO,2016_TN,2016_TP,2016_TSS
02050206,,,,,,11.788,,0.652307692,1.641538462,0.016076923,11.23076923,11.10636364,,0.883,2.053934426,0.023836066,13.08196721,11.43319444,1.251679487,2.538294872,0.051051282,34.37179487,10.909,1.038794521,2.859726027,0.039178082,20.1369863,9.514081633,1.223438596,2.795982456,0.050666667,22,,,,
02050301,,,,,,11.722,,1.448,1.8,0.0288,5.4,11.00636364,,2.463181818,2.827727273,0.057272727,21.52272727,10.88416667,2.256238095,3.1781875,0.075703125,36.640625,11.86206897,2.123587302,2.992031746,0.057730159,28.26984127,10.02578947,2.014794872,3.188435897,0.073512821,47.56410256,,,,
02050302,,,,,,10.116,,1.569,2.493,0.0551,15.5,11.447,,1.97175,3.04675,0.097225,22.425,10.01853659,1.81625,3.030272727,0.115954545,23.79545455,11.50317073,1.811634146,3.539682927,0.104902439,33.51219512,11.28666667,1.6895,3.31653125,0.098911765,28.82352941,,,,
02050303,,,,,,11.886,,1.8,3.05,0.0554,42.2,10.6745,,1.8505,2.637,0.04145,19.5,10.60222222,1.9265,3.270111111,0.054055556,35.05882353,11.48947368,2.0188,3.4669,0.0456,25.6,10.15769231,1.977307692,4.023307692,0.057461538,47.15384615,,,,
02050304,,,,,,11.55076923,,1.478375,2.713333333,0.0278375,13.75,11.14306452,,1.500892308,2.654,0.037824242,15.2238806,11.19262295,1.266222222,3.136641509,0.057728571,26.54285714,11.53537313,1.329583333,3.684,0.057369863,21.19736842,10.41977778,1.551454545,3.46125,0.064705882,39,,,,
02050305,,,,,,16.00535714,,2.670666667,4.293,0.1135,28.3,10.3204,,2.805119048,3.596666667,0.104970238,30.52325581,10.83752632,2.801082126,3.483289904,0.106536124,34.98564593,11.23861538,2.746042654,3.618312796,0.098829384,28.0521327,9.975034965,2.864519737,3.875653595,0.111320261,33.33333333,,,,
02050306,8.373134328,,2.043484416,0.064455172,49.4825,10.11419753,,3.368001613,3.659177083,0.126950388,69.84863014,9.993667546,,3.972084921,3.273672811,0.11906875,27.84563758,10.49154639,4.069983636,3.830580071,0.161950311,51.98927114,10.34410526,4.364029464,3.859010381,0.144409552,54.52548476,9.787914286,3.555144788,3.886546512,0.161123828,53.43986014,9.064772727,1.32192,0.03364,10.13170732
02060001,5.531043115,,0.68878551,0.047273248,9.7615306,6.459859517,,0.881991278,,0.04904645,13.79893195,6.310727812,,0.776695927,,0.044638553,11.48022774,6.512522565,0.743063329,,0.047232284,12.26219228,6.65024334,0.788032449,,0.042450946,10.84586375,6.937092032,0.725367053,,0.046273424,10.4372093,6.597546801,0.728043146,0.041476845,11.86018397
02060002,7.660731949,,1.459985246,0.099615113,25.20909091,8.731596984,,1.511503254,,0.102308817,29.36388889,8.604053398,,1.670328889,,0.092951754,27.18496732,8.820016077,1.960727837,,0.109492105,30.92891832,8.759326923,2.015294298,,0.1157163,31.2545657,8.239298246,1.934998533,,0.11673601,27.41554192,9.024937759,1.556885388,0.087755251,23.73079844
02060003,6.210088149,,1.894734466,0.065583333,22.15771429,7.147949965,,2.003936111,,0.066394172,28.64429134,7.986885246,,2.116292771,,0.071043976,35.41662234,8.834569983,2.165836866,,0.066783333,29.27786667,9.147924528,2.031490448,,0.066153823,34.48337029,8.95483871,1.799781362,,0.067647857,24.17313084,8.153199269,1.84659798,0.055359,20.25023474
02060004,7.164423077,,0.811705128,0.053041026,10.21473684,8.007509294,,1.014,,0.056363889,13.56883117,7.931273408,,0.919200833,,0.051014167,15.92484472,8.563609195,0.844866667,,0.052978333,11.43834586,8.398979592,0.865278814,,0.03950678,10.31221374,8.532914573,0.80875,,0.040051667,7.596825397,9.468867925,0.918766667,0.029425,7.8984375
02060005,7.280141844,,1.497862245,0.062496078,15.96078431,8.359354839,,1.464223077,6.5990625,0.065729032,15.22216216,8.347134935,,1.416617742,4.544866667,0.068537374,17.32681818,8.561212121,1.61274632,5.570565789,0.077758929,14.82248996,8.631054978,1.36762265,4.88915625,0.057354585,12.75492424,8.531768388,1.298935909,5.754081395,0.061597738,13.29677419,9.149415205,1.166082692,0.051022115,13.63414634
02060006,6.845724907,,1.084378218,0.087282848,23.43866279,8.181433608,,1.180086344,5.142444444,0.092238675,27.82581888,8.050867052,,1.140974893,5.230144737,0.092471784,31.16760148,8.32668187,1.193427701,4.62552439,0.091823614,44.5520073,8.468377088,1.119111659,4.528394231,0.086180587,33.29769674,8.149702735,1.054201602,6.294696429,0.092308428,31.93249027,9.957035176,1.044706771,0.075369271,26.52832618
02070001,,,,,,11.56,,0.64075,,0.033375,16.75,10.7396875,,0.620866667,,0.069135294,15.29411765,10.35714286,,,0.061333333,25.53333333,10.15555556,,,0.044285714,17.38095238,9.791666667,,,0.023571429,20.07142857,,,,
02070002,9.76875,,1.070479592,0.041631169,28.74489796,11.03420732,,0.972488506,,0.028090164,42.06781609,10.61834158,,0.81337799,,0.022258885,21.39619048,10.73684211,0.787257237,,0.020155914,19.25483871,10.90478469,0.720178351,,0.02041886,17.61028037,10.86111111,0.77138,,0.021712042,16.25659341,11.11333333,0.786625,0.017598039,5.465
